Food Name,Food Code,Description,Group,Group (sub-class),Comments,Description Footnote,Energy (kcal),Protein (g),Carbohydrate (g),Total Sugars (g),Starch (g),Citric acid (g),Malic acid (g),Total Phytosterols (mg),Other Cholesterol and Phytosterols (mg),Phytosterol (mg),Beta-sitosterol (mg),Brassicasterol (mg),Campesterol (mg),Delta-5-avenasterol (mg),Delta-7-avenasterol (mg),Delta-7-stigmastenol (mg),Stigmasterol (mg),All-trans-retinol (µg),13-cis-retinol (µg),Dehydroretinol (µg),Retinaldehyde (µg),Alpha-carotene (µg),Beta-carotene (µg),Cryptoxanthins (µg),Lutein (µg),Lycopene (µg),25-hydroxy vitamin D3 (µg),Cholecalciferol (µg),5-mehtyl folate (µg),Alpha-tocopherol (mg),Beta-tocopherol (mg),Delta-tocopherol (mg),Gamma-tocopherol (mg),Alpha-tocotrienol (mg),Delta-tocotrienol (mg),Gamma-tocotrienol (mg),Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA (/100g FA g),Satd FA /100g fd (g),n-6 poly (/100g FA g),n-6 poly (/100g food g),n-3 poly (/100g FA g),n-3 poly (/100g food g),cis-Mono FA (/100g FA g),cis-Mono FA (/100g food g),Mono FA (/100g FA g),Mono FA (/100g food g),cis-Polyu FA (/100g FA g),cis-Poly FA (/100g food g),Poly FA (/100g FA g),Poly FA (/100g food g),Sat FA excl Br (/100g FA g),Sat FA excl Br (/100g food g),Branched chain FA (/100g FA g),Branched chain FA (/100g food g),ans FAs (/100g FA g),ans FAs (/100g food g),Cholesterol (mg),Retinol (µg),Carotene (µg),Retinol Equivalent (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Niacin equivalent (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg)
"Beer, mild, draught",17-215,Mixed sample from different brewers,Alcoholic beverages ,QA,"As MSF 17-215 - Mild, draught. Additional data from 50-1097",,24,0.2,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0.03,0.2,0,1.6,24,0,0,1.6,0,0,0,0,1.6,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.1,0,0.02,0,5,0.1,1,0,11,33,10,8,12,0,0.05,0,34,0,0,0
"Beer, bitter, average",17-506,"5 samples from different brewers; canned, draught and bottled",Alcoholic beverages ,QA,"Miscellaneous foods supplement 17-207 and folate data from LGC, Individual folates in foodstuffs, 1996, food surveillance information sheet No.92. Vitamin K1 Bolton-Smith et al Br.J. Nutr. 83, 2000.",,36,0.3,2.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,93.9,0.05,0.3,0,2.2,30,0,0,2.2,0,0,0,0,2.2,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.2,0.2,0.4,0.07,0,5,0.05,1,0,6,32,8,7,14,0.1,0.01,0.1,24,0.03,0,0
Strong ale/barley wine,17-221,Mixed sample from different brewers,Alcoholic beverages ,QA,As MSF 17-221. Additional data from 50-1103,,66,0.7,5.8,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,0.11,0.7,0,6.1,66,0,0,6.1,0,0,0,0,6.1,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.8,0.4,0,0.04,0,9,0,0,0,15,110,14,20,40,0,0.08,0,57,0,0,0
"Pale ale, bottled",17-216,Mixed sample from different brewers,Alcoholic beverages ,QA,As MSF 17-216,,29,0.3,1.9,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.9,0.05,0.3,0,2,28,0,0,2,0.7,0,0,0,1.3,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.4,0.2,0,0.01,0,4,0.1,1,0,10,49,9,10,15,0,0.04,0,31,0,0,0
"Brown ale, bottled",17-210,Mixed sample from different brewers,Alcoholic beverages ,QA,As MSF 17-210. Additional data from 50-1098,,30,0.3,2.9,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.3,0.04,0.3,0,3,30,0,0,3,0.4,0,0.4,0.1,2.1,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.3,0.1,0,0.01,0,4,0.1,1,0,16,33,7,6,11,0,0.07,0.3,37,0,0,0
"Cider, dry",17-222,3 samples of different brands,Alcoholic beverages ,QC,As MSF 17-222. Additional values from 50-1104,,37,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.5,0,0,0,2.6,36,0,0,2.6,0.6,0,0.5,0.7,0.8,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.04,1,0,7,72,8,3,3,0.5,0.04,0,6,0,0,0
"Sherry, sweet",17-237,1 sample,Alcoholic beverages ,QF,As MSF 17-237. Additional data from 50-1116,,138,0.3,6.9,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.8,0.05,0.3,0,6.9,136,0,0,6.9,3.6,0,3.5,0,0,0,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0,0,0,13,110,7,11,10,0.4,0.11,0,14,0,0,0
"Sherry, medium",17-236,"8 samples; including Spanish, British, Cyprus, own label",Alcoholic beverages ,QF,As MSF 17-236. Additional data from 50-1115,,117,0.1,5.9,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.8,0.02,0.1,0,5.9,116,0,0,5.9,3,0,2.9,0,0,0,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.02,0,0,0.02,1,0,27,55,8,5,24,0.4,0.04,0,10,0.01,0,0
"Sherry, dry",17-235,1 sample,Alcoholic beverages ,QF,As MSF 17-235. Additional data from 50-1114,,116,0.2,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0.03,0.2,0,1.4,116,0,0,1.4,0.7,0,0.7,0,0,0,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0,0,0,10,57,7,13,11,0.4,0.03,0,12,0,0,0
Port,17-234,2 samples,Alcoholic beverages ,QF,As MSF 17-234. Additional data from 50-1113,,159,0.1,11.9,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.1,0.02,0.1,0,12,157,0,0,12,4.6,0,4.6,2.8,0,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0.01,0,0,0,0,0,4,97,4,11,12,0.4,0.1,0,8,0,0,0
